ts,state,ssid,bssid,signal_pct,channel,radio_type,ping_gate_avg_ms,ping_gate_loss_pct,ping_remote_avg_ms,ping_remote_loss_pct
2025-10-06T15:15:44.328671Z,disconnected,,,,,,,100,9,0
2025-10-06T15:17:48.911279Z,disconnected,,,,,,0,0,11,0
2025-10-06T15:18:05.289033Z,disconnected,,,,,,0,0,9,0
2025-10-06T15:23:38.123621Z,disconnected,,,,,,0,0,9,0
2025-10-06T15:28:57.243555Z,disconnected,,,,,,0,0,9,0
2025-10-06T15:29:13.704104Z,disconnected,,,,,,0,0,9,0
2025-10-06T15:29:30.124601Z,disconnected,,,,,,0,0,9,0
2025-10-06T15:35:30.180642Z,disconnected,,,,,,0,0,9,0
2025-10-06T16:38:04.516411Z,disconnected,,,,,,0,0,10,0
2025-10-06T16:38:21.003080Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,11,0
2025-10-06T16:38:26.403025Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,11,0
2025-10-06T16:38:42.966518Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,9,0
2025-10-06T16:38:59.461965Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,10,0
2025-10-06T16:39:15.973933Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,9,0
2025-10-06T16:39:32.532942Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,12,0
2025-10-06T16:39:49.087731Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,9,0
2025-10-06T16:40:05.594138Z,connected,Bozard Employee,,83%,149,802.11ac,0,0,9,0
2025-10-06T17:04:43.967412Z,connected,Bozard Employee,,82%,149,802.11ac,0,0,9,0
2025-10-06T17:05:00.389752Z,connected,Bozard Employee,,82%,149,802.11ac,0,0,9,0
2025-10-06T17:05:16.805768Z,connected,Bozard Employee,,82%,149,802.11ac,0,0,9,0
2025-10-06T17:05:51.361535Z,connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0
2025-10-06T17:06:07.780812Z,connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0
2025-10-06T17:06:24.240803Z,connected,Bozard Employee,,81%,149,802.11ac,0,0,9,0
